Year,OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartments in Tract,PROPERTIES,Shape__Area,Shape__Length
2001,1,53033001201,12.01,Census Tract 12.01,Northgate/Maple Leaf,8.1,1.52,1085,482.758.620.689.656,513.565.891.472.868,Low,Stable,1209,21,10.851.861.641.449,158.997.733.430.541
2001,2,53033000404,04.04,Census Tract 4.04,Broadview/Bitter Lake,9.1,1.29,1042,403.225.806.451.613,42,Low,Stable,454,7,67.916.527.237.854,129.625.584.131.713
2001,3,53033004901,49.01,Census Tract 49.01,Fremont,11.1,1.79,1042,529.411.764.705.883,525.252.525.252.525,Medium,Stable,977,106,535.088.821.542.358,937.965.576.684.679
2001,4,53033003601,36.01,Census Tract 36.01,Green Lake,9.4,2.1,1197,552.763.819.095.478,555.555.555.555.556,Medium,Stable,412,34,725.587.906.799.316,118.942.888.948.854
2001,5,53033002800,28,Census Tract 28,Greenwood/Phinney Ridge,9.3,1.6,989,526.315.789.473.685,521.276.595.744.681,Low,Stable,290,31,106.371.518.217.773,13.201.311.297.987
2001,6,53033003100,31,Census Tract 31,Sunset Hill/Loyal Heights,10.3,1.33,916,555.555.555.555.556,528.735.632.183.908,Low,Stable,102,13,231.374.640.452.271,247.045.678.017.235
2001,7,53033006400,64,Census Tract 64,Miller Park,6.4,1.78,1500,532.544.378.698.225,541.110.330.288.124,High,Stable,103,5,972.635.190.356.445,131.867.701.844.683
2001,8,53033004301,43.01,Census Tract 43.01,Ravenna/Bryant,7.3,2.7,1702,505.836.575.875.488,51.266.213.712.168,High,Stable,69,8,105.397.805.728.455,17.192.703.749.828
2001,9,53033002500,25,Census Tract 25,Ravenna/Bryant,7.3,0,0,0,0,0,0,0,0,105.946.342.979.736,164.429.685.869.958
2001,10,53033002200,22,Census Tract 22,Wedgwood/View Ridge,7.4,1.93,1645,489.130.434.782.608,511.182.108.626.198,High,Stable,73,5,301.272.080.188.904,285.058.067.930.163
2001,11,53033004000,40,Census Tract 40,Laurelhurst/Sand Point,7.5,1.31,884,564.516.129.032.259,548.926.014.319.809,Low,Stable,54,2,26.374.983.680.542,275.600.138.429.836
2001,12,53033005804,58.04,Census Tract 58.04,Interbay,12.2,2,1329,471.204.188.481.676,472.813.238.770.686,High,Stable,572,34,251.240.627.388.306,486.682.722.430.527
2001,13,53033006800,68,Census Tract 68,Queen Anne,12.3,2.51,1667,502.092.050.209.204,517.350.157.728.707,High,Stable,234,23,772.925.027.154.541,112.753.773.479.613
2001,14,53033008102,81.02,Census Tract 81.02,Downtown Commercial Core,13.2,3.3,2895,509.554.140.127.388,527.272.727.272.727,High,Stable,173,5,598.781.208.642.578,143.399.950.294.181
2001,15,53033008101,81.01,Census Tract 81.01,Downtown Commercial Core,13.2,1.69,1477,628.930.817.610.062,603.015.075.376.884,Medium,Stable,885,5,299.216.547.857.666,114.271.467.556.707
2001,16,53033007902,79.02,Census Tract 79.02,Central Area/Squire Park,5.3,1.9,1295,555.555.555.555.555,519.902.518.277.823,Medium,Stable,176,13,464.163.780.010.986,971.512.087.740.264
2001,17,53033007302,73.02,Census Tract 73.02,Cascade/Eastlake,11.3,2.64,2138,476.190.476.190.477,480.392.156.862.745,High,Stable,663,4,336.876.926.522.827,780.242.635.391.176
2001,18,53033007101,71.01,Census Tract 71.01,Queen Anne,12.3,2.26,1499,511.627.906.976.744,519.298.245.614.035,High,Stable,370,13,532.847.460.678.101,900.494.722.654.019
2001,19,53033009300,93,Census Tract 93,Duwamish/SODO,3.3,02.05,1485,512.820.512.820.512,531.914.893.617.021,High,Stable,261,10,102.171.584.839.813,539.463.734.519.274
2001,20,53033010502,105.02,Census Tract 105.02,West Seattle Junction/Genesee Hill,1.3,1.78,1177,532.544.378.698.225,527.728.085.867.621,Medium,Stable,379,22,105.043.513.417.664,145.461.362.419.116
2001,21,53033010001,100.01,Census Tract 100.01,North Beacon Hill/Jefferson Park,3.6,1.87,1185,56.497.175.141.243,523.978.685.612.789,Medium,Stable,187,15,250.524.746.053.925,256.289.245.317.132
2001,22,53033009801,98.01,Census Tract 98.01,West Seattle Junction/Genesee Hill,1.3,02.04,1373,515.463.917.525.774,51.301.684.532.925,High,Stable,219,19,108.142.489.397.583,132.915.490.832.838
2001,23,53033008900,89,Census Tract 89,Madrona/Leschi,5.1,2.2,1515,526.315.789.473.686,51.353.226.925.746,High,Stable,234,15,13.690.717.169.342,193.287.463.975.703
2001,24,53033026300,263,Census Tract 263,Rainier Beach,4.1,0,0,0,0,0,0,0,0,3.072.463.331.604,954.048.024.444.965
2001,25,53033012000,120,Census Tract 120,Arbor Heights,1.1,0,0,0,0,0,0,0,0,155.609.904.431.915,16.787.974.281.693
2001,26,53033011101,111.01,Census Tract 111.01,Columbia City,4.2,1.85,1218,511.363.636.363.637,509.059.534.081.104,Medium,Stable,170,13,122.367.180.846.863,155.520.743.493.747
2001,27,53033011001,110.01,Census Tract 110.01,South Beacon Hill/NewHolly,3.4,0,0,0,0,0,0,0,0,116.290.410.737,162.873.553.131.872
2001,28,53033010800,108,Census Tract 108,Riverview,2.3,0,0,0,0,0,0,0,0,440.874.452.204.437,390.193.474.976.913
2001,29,53033000800,8,Census Tract 8,Cedar Park/Meadowbrook,8.3,0,0,0,0,0,0,0,0,122.908.100.239.868,153.120.874.645.944
2001,30,53033003400,34,Census Tract 34,Greenwood/Phinney Ridge,9.3,1.14,704,555.555.555.555.554,538.922.155.688.623,Low,Stable,93,9,847.247.171.472.168,12.629.322.933.575
2001,31,53033005306,53.06,Census Tract 53.06,University District,7.2,1.87,1030,50.561.797.752.809,510.204.081.632.653,Medium,Stable,435,16,215.790.605.789.185,595.487.262.312.138
2001,32,53033004302,43.02,Census Tract 43.02,Ravenna/Bryant,7.3,2.23,1354,518.867.924.528.301,520.590.520.590.521,High,Stable,981,60,35.641.156.701.355,798.727.441.919.544
2001,33,53033002400,24,Census Tract 24,Wedgwood/View Ridge,7.4,0,0,0,0,0,0,0,0,103.599.197.832.642,131.517.125.244.876
2001,34,53033004102,41.02,Census Tract 41.02,Laurelhurst/Sand Point,7.5,1.58,1123,533.333.333.333.334,51.498.127.340.824,Medium,Stable,224,7,179.339.272.689.209,233.508.002.922.279
2001,35,53033005600,56,Census Tract 56,Magnolia,12.1,0,0,0,0,0,0,0,0,320.450.561.363.831,299.435.055.294.428
2001,36,53033006703,67.03,Census Tract 67.03,Queen Anne,12.3,1.31,1011,48,509.355.509.355.509,Low,Stable,613,36,642.717.188.375.854,108.464.930.444.777
2001,37,53033006100,61,Census Tract 61,Montlake/Portage Bay,7.1,2.17,1253,483.091.787.439.614,520.570.948.782.536,High,Stable,996,81,119.591.937.410.278,214.772.648.301.767
2001,38,53033005700,57,Census Tract 57,Magnolia,12.1,1.53,1146,551.724.137.931.035,542.778.288.868.445,Medium,Stable,352,28,533.055.844.251.709,445.065.655.358.236
2001,39,53033005901,59.01,Census Tract 59.01,Queen Anne,12.3,1.7,1042,179.640.718.562.874,225.711.481.844.946,Medium,Stable,389,29,844.908.671.850.586,190.752.924.234.318
2001,40,53033008401,84.01,Census Tract 84.01,Capitol Hill,6.2,2.38,1534,530.973.451.327.434,521.262.002.743.484,High,Stable,777,18,270.076.660.922.241,927.581.826.751.285
2001,41,53033008300,83,Census Tract 83,First Hill,6.1,1.89,1307,499.999.999.999.999,523.349.436.392.915,Medium,Stable,943,13,256.127.649.777.222,863.213.489.440.587
2001,42,53033007501,75.01,Census Tract 75.01,Capitol Hill,6.2,02.09,1196,50.251.256.281.407,528.169.014.084.507,Medium,Stable,1454,82,321.051.993.661.499,721.962.364.175.991
2001,43,53033009702,97.02,Census Tract 97.02,West Seattle Junction/Genesee Hill,1.3,1.71,1102,555.555.555.555.555,545.454.545.454.545,Medium,Stable,105,7,238.999.074.262.695,282.587.625.684.306
2001,44,53033008800,88,Census Tract 88,Central Area/Squire Park,5.3,2.19,1410,478.468.899.521.532,514.541.387.024.608,High,Stable,230,27,102.100.388.581.238,132.025.268.569.703
2001,45,53033008500,85,Census Tract 85,First Hill,6.1,2.35,1564,491.071.428.571.428,468.540.829.986.613,High,Stable,884,18,48.541.213.192.749,902.558.161.466.663
2001,46,53033026500,265,Census Tract 265,Highland Park,2.5,0,0,0,0,0,0,0,0,461.767.548.258.972,112.349.647.811.896
2001,47,53033011601,116.01,Census Tract 116.01,Fauntleroy/Seaview,1.2,01.05,731,0.05,53.314.121.037.464,Low,Stable,80,6,167.108.428.944.397,200.119.659.924.997
2001,48,53033011300,113,Census Tract 113,Highland Park,2.5,1,809,526.315.789.473.685,479.274.611.398.964,Low,Stable,328,16,372.606.829.683.075,271.841.613.850.878
2001,49,53033011500,115,Census Tract 115,Roxhill/Westwood,2.4,1.31,926,564.516.129.032.259,522.727.272.727.273,Low,Stable,240,12,165.586.527.529.297,198.873.089.363.241
2001,50,53033010601,106.01,Census Tract 106.01,Fauntleroy/Seaview,1.2,1.69,1037,496.894.409.937.887,538.617.886.178.862,Medium,Stable,375,24,11.724.162.319.458,144.588.370.353.337
2001,51,53033001202,12.02,Census Tract 12.02,Northgate/Maple Leaf,8.1,1.88,1382,502.793.296.089.385,517.503.805.175.038,High,Stable,422,9,884.114.588.363.647,133.249.900.925.288
2001,52,53033000102,01.02,Census Tract 1.02,Cedar Park/Meadowbrook,8.3,1.55,1094,54.421.768.707.483,549.662.487.945.998,Low,Stable,281,12,154.468.214.830.017,195.523.623.304.664
2001,53,53033004701,47.01,Census Tract 47.01,Ballard,10.4,1.99,1388,52.910.052.910.053,515.151.515.151.515,High,Stable,611,47,603.602.832.614.136,135.390.476.262.898
2001,54,53033004500,45,Census Tract 45,Wallingford,11.2,0,0,0,0,0,0,0,0,72.221.098.883.667,110.183.020.934.985
2001,55,53033002900,29,Census Tract 29,Greenwood/Phinney Ridge,9.3,1.53,1101,479.452.054.794.521,515.759.312.320.917,Low,Stable,241,23,106.147.911.058.044,133.663.196.709.081
2001,56,53033004201,42.01,Census Tract 42.01,Ravenna/Bryant,7.3,1.33,1186,555.555.555.555.556,532.859.680.284.192,Low,Stable,178,10,133.906.642.680.969,182.861.439.211.159
2001,57,53033007403,74.03,Census Tract 74.03,Capitol Hill,6.2,1.97,1185,534.759.358.288.769,533.333.333.333.333,Medium,Stable,995,49,12.760.890.690.918,522.749.528.678.734
2001,58,53033007002,70.02,Census Tract 70.02,Queen Anne,12.3,1.95,1258,483.870.967.741.935,518.394.648.829.431,Medium,Stable,1561,76,474.686.984.552.002,949.079.905.735.624
2001,59,53033005803,58.03,Census Tract 58.03,Interbay,12.2,1.37,1006,378.787.878.787.879,446.521.287.642.783,Low,Stable,323,29,895.617.342.456.055,171.291.988.103.483
2001,60,53033005902,59.02,Census Tract 59.02,Queen Anne,12.3,1.46,1125,503.597.122.302.159,533.707.865.168.539,Low,Stable,111,11,11.010.649.894.989,151.842.205.727.179
2001,61,53033004902,49.02,Census Tract 49.02,Fremont,11.1,02.01,1172,523.560.209.424.083,539.568.345.323.741,Medium,Stable,733,64,64.482.623.397.522,108.017.314.915.315
